127.0.0.1 - - [10/Aug/2023:21:10:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:10:42 +0530] "GET /Student_Result_Managment_Syste/index.html HTTP/1.1" 200 3343
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:10:42 +0530] "GET /Student_Result_Managment_Syste/assets/css/main.css HTTP/1.1" 200 50519
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:10:42 +0530] "GET /Student_Result_Managment_Syste/assets/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:10:42 +0530] "GET /Student_Result_Managment_Syste/assets/js/main.js HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:10:42 +0530] "GET /Student_Result_Managment_Syste/logo.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:10:42 +0530] "GET /Student_Result_Managment_Syste/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:10:42 +0530] "GET /Student_Result_Managment_Syste/assets/js/skel.min.js HTTP/1.1" 200 9085
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:10:42 +0530] "GET /Student_Result_Managment_Syste/rtmnu1.jpg HTTP/1.1" 200 2755
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:10:42 +0530] "GET /Student_Result_Managment_Syste/assets/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:10:42 +0530] "GET /Student_Result_Managment_Syste/images/home1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:10:42 +0530] "GET /Student_Result_Managment_Syste/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:10:42 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:10:53 +0530] "GET /Student_Result_Managment_Syste/adminLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:10:53 +0530] "GET /Student_Result_Managment_Syste/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:10:53 +0530] "GET /Student_Result_Managment_Syste/user.png HTTP/1.1" 200 22159
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:11:00 +0530] "POST /Student_Result_Managment_Syste/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:11:01 +0530] "GET /Student_Result_Managment_Syste/adminHome.jsp HTTP/1.1" 200 40054
0:0:0:0:0:0:0:1 - - [10/Aug/2023:21:11:01 +0530] "GET /Student_Result_Managment_Syste/rtmnu.png HTTP/1.1" 200 56118
