127.0.0.1 - - [01/Jun/2023:09:17:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:11 +0530] "GET /Student_Result_Managment_Syste/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:11 +0530] "GET /Student_Result_Managment_Syste/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:11 +0530] "GET /Student_Result_Managment_Syste/logo.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:11 +0530] "GET /Student_Result_Managment_Syste/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:11 +0530] "GET /Student_Result_Managment_Syste/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:11 +0530] "GET /Student_Result_Managment_Syste/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:11 +0530] "GET /Student_Result_Managment_Syste/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:11 +0530] "GET /Student_Result_Managment_Syste/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:11 +0530] "GET /Student_Result_Managment_Syste/rtmnu1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:11 +0530] "GET /Student_Result_Managment_Syste/images/home1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:12 +0530] "GET /Student_Result_Managment_Syste/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:12 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:40 +0530] "GET /Student_Result_Managment_Syste/dgiOneView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:40 +0530] "GET /Student_Result_Managment_Syste/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:40 +0530] "GET /Student_Result_Managment_Syste/result.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:45 +0530] "POST /Student_Result_Managment_Syste/studentHome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:45 +0530] "GET /Student_Result_Managment_Syste/errorDgiOneView.html HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:49 +0530] "GET /Student_Result_Managment_Syste/adminLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:49 +0530] "GET /Student_Result_Managment_Syste/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:56 +0530] "POST /Student_Result_Managment_Syste/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:17:56 +0530] "GET /Student_Result_Managment_Syste/errorAdminLogin.html HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:18:03 +0530] "POST /Student_Result_Managment_Syste/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:18:03 +0530] "GET /Student_Result_Managment_Syste/errorAdminLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:18:12 +0530] "POST /Student_Result_Managment_Syste/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:18:12 +0530] "GET /Student_Result_Managment_Syste/errorAdminLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:18:23 +0530] "POST /Student_Result_Managment_Syste/adminLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:18:23 +0530] "GET /Student_Result_Managment_Syste/errorAdminLogin.html HTTP/1.1" 304 -
